what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1374608259985
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1374608259986
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1374608259986
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1374608259987
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1374608259988
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374608259988
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1374608259989
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1374608259989
started,bundle,org.eclipse.wb.core,1.6.0.r37x201305211944,"org.eclipse.wb.core",1374608259990
started,bundle,org.eclipse.wb.core.java,1.6.0.r37x201305211947,"org.eclipse.wb.core.java",1374608259990
started,bundle,org.eclipse.wb.core.lib,1.6.0.r37x201305211944,"org.eclipse.wb.core.lib",1374608259991
started,bundle,org.eclipse.wb.core.xml,1.6.0.r37x201305211955,"org.eclipse.wb.core.xml",1374608259992
started,bundle,org.eclipse.wb.rcp.databinding,1.6.0.r37x201305212028,"org.eclipse.wb.rcp.databinding",1374608259992
started,bundle,org.eclipse.wb.swing.databinding,1.6.0.r37x201305212042,"org.eclipse.wb.swing.databinding",1374608259993
os,sysinfo,,,"win32",1374608259996
arch,sysinfo,,,"x86_64",1374608259996
ws,sysinfo,,,"win32",1374608259996
locale,sysinfo,,,"en_US",1374608259996
processors,sysinfo,,,"4",1374608259996
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374608259996
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1374608259996
java.specification.name,sysinfo,,,"Java Platform API Specification",1374608259996
java.specification.vendor,sysinfo,,,"Oracle Corporation",1374608259996
java.specification.version,sysinfo,,,"1.7",1374608259996
java.vendor,sysinfo,,,"Oracle Corporation",1374608259996
java.version,sysinfo,,,"1.7.0_21",1374608259996
java.vm.info,sysinfo,,,"mixed mode",1374608259996
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1374608259996
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374608259996
