what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677054007
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677062462
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677063117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677063682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677078278
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677081307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677081856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677085528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374677088304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677093150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677093957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677130878
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374677168532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677180469
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677244889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showRulerContextMenu",1374677244891
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677246494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677248503
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374677250152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677251295
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677253323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677253841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677255794
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374677255823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677257815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677259203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677274785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677275299
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677275378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374677276685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677278967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677285369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677285410
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677285956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677286476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677299038
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374677299716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677309678
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374677310444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677312491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677341528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374677342208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1374677386706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374677387099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374677388677
