what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675235565
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1374675235670
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1374675235674
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1374675236206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675236227
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374675238725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675240766
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374675248239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374675268931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374675272331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374675273591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374675274571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374675276959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675279233
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675280281
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675282429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675282819
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675283860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675289135
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675290044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675290607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675297894
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675297917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675310462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675318701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675322764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675323677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675325026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675333264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675333298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675347106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675352436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675353210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675355049
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675355843
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675358485
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675360658
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675360919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675361445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675373113
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675373134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675375317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675375824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675375850
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675376749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675377279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675392054
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675392093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675394845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675396506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675396880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675398527
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675401018
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374675403581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675407128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675415413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374675415441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675418676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675424601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374675424628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675434038
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1374675462181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374675469942
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1374675471150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374675475387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675483183
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675483897
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675484248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675485645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675485716
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675486442
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675486733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675486965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675490147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675491092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675491723
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675492556
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1374675537841
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374675561682
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675570934
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675579415
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675580876
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1374675595553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374675601008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675601516
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675602458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675604118
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374675604738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675605305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675606844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374675606874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675607882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675608466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675610894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675614383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675615871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675619940
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675621812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374675637342
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374675638733
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374675669654
