what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671110934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671120172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671127027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671131366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671137788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671171040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671183016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671184275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671186402
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374671187688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671188342
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374671188342
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374671189071
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374671195772
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671195978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671196071
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671205606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671206779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374671206808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671210366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671211543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374671214606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671215838
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671217123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671217840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374671217870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671219403
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671220350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671220721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374671220782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1374671223761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671225004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374671226637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374671227724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374671228949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374671232219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671236886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374671244517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671245681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374671249034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374671255787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374671262513
